# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3]
21000 50
23 1.125 1.96204 4.24727
24 1.175 1.65307 5.34521
25 1.225 1.38887 6.34785
26 1.275 1.17333 7.26543
27 1.325 1.0313 8.13643
28 1.375 0.916006 8.96953
29 1.425 0.842162 9.79219
30 1.475 0.789212 10.6182
31 1.525 0.771833 11.4816
32 1.575 0.759946 12.3885
33 1.625 0.759877 13.3537
34 1.675 0.780459 14.407
35 1.725 0.831934 15.5979
36 1.775 0.87974 16.9312
37 1.825 0.934722 18.4287
38 1.875 1.00426 20.1271
39 1.925 1.06684 22.0287
40 1.975 1.11489 24.1206
41 2.025 1.14266 26.3745
42 2.075 1.14748 28.7511
43 2.125 1.12756 31.2003
44 2.175 1.10258 33.7093
45 2.225 1.06466 36.2446
46 2.275 1.03599 38.8238
47 2.325 1.00044 41.4252
48 2.375 0.971897 44.0622
49 2.425 0.949633 46.7484
50 2.475 0.95212 49.5539
39000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0.000298202 9.76563e-05
18 0.875 0.0312823 0.0116211
19 0.925 0.435547 0.190918
20 0.975 1.40093 0.831641
21 1.025 2.07792 1.88193
22 1.075 2.15772 3.08154
23 1.125 1.92772 4.25527
24 1.175 1.61602 5.32861
25 1.225 1.38847 6.33096
26 1.275 1.17732 7.25166
27 1.325 1.02378 8.11631
28 1.375 0.918905 8.95205
29 1.425 0.84766 9.78008
30 1.475 0.79649 10.6137
31 1.525 0.759001 11.4628
32 1.575 0.746442 12.3535
33 1.625 0.770717 13.3325
34 1.675 0.802384 14.4154
35 1.725 0.84019 15.6181
36 1.775 0.881673 16.9543
37 1.825 0.94167 18.463
38 1.875 1.00906 20.1694
39 1.925 1.04931 22.0398
40 1.975 1.10927 24.1212
41 2.025 1.13736 26.3646
42 2.075 1.1338 28.7129
43 2.125 1.13754 31.1838
44 2.175 1.10361 33.6951
45 2.225 1.06966 36.2424
46 2.275 1.0414 38.8351
47 2.325 1.00618 41.4514
48 2.375 0.977296 44.103
49 2.425 0.95495 46.8043
50 2.475 0.937338 49.5662
40000 50
1 0.025 0 0
2 0.075 0 0
3 0.125 0 0
4 0.175 0 0
5 0.225 0 0
6 0.275 0 0
7 0.325 0 0
8 0.375 0 0
9 0.425 0 0
10 0.475 0 0
11 0.525 0 0
12 0.575 0 0
13 0.625 0 0
14 0.675 0 0
15 0.725 0 0
16 0.775 0 0
17 0.825 0.000298202 9.76563e-05
18 0.875 0.0318125 0.0118164
19 0.925 0.419178 0.184375
20 0.975 1.40606 0.827441
21 1.025 2.07115 1.87432
22 1.075 2.1565 3.07324
23 1.125 1.9274 4.24678
24 1.175 1.63484 5.33262
