DONE: sourced file /scic/app/cpu/gaussian/16c-legacy/g16/bsd/g16.profile
LAMMPS (2 Apr 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (42.08 42.08 42.08)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  2048 atoms
  read_data CPU = 0.031 seconds
2048 atoms in group Ar
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 31 31 31
  2 neighbor lists, perpetual/occasional/extra = 1 1 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
  (2) compute rdf, occasional, copy from (1)
      attributes: half, newton on
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 3.287 | 3.287 | 3.287 Mbytes
   Step          Temp          Press          Volume         TotEng    
     28600   2.0772048      5.1473353      2673.9246     -1.0679786    
     28700   2.0574445      5.2675901      2673.9246     -1.0671366    
     28800   2.062084       5.2366987      2673.9246     -1.0673888    
     28900   2.0742759      5.1938728      2673.9246     -1.0673445    
     29000   2.067183       5.1954281      2673.9246     -1.0687692    
     29100   2.0664849      5.2583102      2673.9246     -1.0680492    
     29200   2.0977732      4.9958846      2673.9246     -1.0680126    
     29300   2.0818842      5.1073029      2673.9246     -1.068805     
     29400   2.0524379      5.3573794      2673.9246     -1.0680459    
     29500   2.0655925      5.2826013      2673.9246     -1.0684626    
     29600   2.0240209      5.4187555      2673.9246     -1.0670461    
     29700   2.0699012      5.1980451      2673.9246     -1.0673878    
     29800   2.0623163      5.2551416      2673.9246     -1.0675895    
     29900   2.0188834      5.4962495      2673.9246     -1.0672171    
     30000   2.0577556      5.2838242      2673.9246     -1.0676462    
     30100   2.0503245      5.3282246      2673.9246     -1.0681589    
     30200   2.0491131      5.3041593      2673.9246     -1.0681095    
     30300   2.0627998      5.2682422      2673.9246     -1.0673706    
     30400   2.0478557      5.3341606      2673.9246     -1.0666325    
     30500   2.0810624      5.1241572      2673.9246     -1.068929     
     30600   2.0597113      5.2539805      2673.9246     -1.0676556    
     30700   2.0823771      5.1481692      2673.9246     -1.0684958    
     30800   2.0412655      5.409228       2673.9246     -1.0670178    
     30900   2.0589669      5.2287687      2673.9246     -1.0688812    
     31000   2.0717537      5.2349466      2673.9246     -1.0674393    
     31100   2.082492       5.1724382      2673.9246     -1.0678731    
     31200   2.0162111      5.5596734      2673.9246     -1.0675058    
     31300   2.0744855      5.1537469      2673.9246     -1.0682707    
     31400   2.0471844      5.3067838      2673.9246     -1.0674166    
     31500   2.0172552      5.4956546      2673.9246     -1.0671663    
     31600   2.0554659      5.2592792      2673.9246     -1.0680911    
     31700   2.0433747      5.2962203      2673.9246     -1.0677618    
     31800   2.1025081      5.0136015      2673.9246     -1.068543     
     31900   2.058048       5.3183483      2673.9246     -1.0674151    
     32000   2.0474152      5.3213208      2673.9246     -1.0675204    
     32100   2.0577967      5.2419669      2673.9246     -1.0675498    
     32200   2.0437731      5.3166578      2673.9246     -1.0679582    
     32300   2.0891974      5.0602642      2673.9246     -1.0688468    
     32400   2.0540565      5.2558317      2673.9246     -1.0671274    
     32500   2.065053       5.1929238      2673.9246     -1.0683624    
     32600   2.0398127      5.3652385      2673.9246     -1.0684638    
     32700   2.0943052      5.0732543      2673.9246     -1.0670062    
     32800   2.0505225      5.297882       2673.9246     -1.0679163    
