# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
50100 100
98 4.68 0.586895 2.6875 0.687768 12.3625 2.45877 27.925
99 4.728 0.575039 2.7875 0.758108 12.6438 2.13955 29.5125
100 4.776 0.845308 2.9375 1.05664 13.0437 2.13804 31.1313
50500 100
1 0.024 0 0 0 0 0 0
2 0.072 0 0 0 0 0 0
3 0.12 0 0 0 0 0 0
4 0.168 0 0 0 0 0 0
5 0.216 0 0 0 0 0 0
6 0.264 0 0 0 0 0 0
7 0.312 0 0 0 0 0 0
8 0.36 0 0 0 0 0 0
9 0.408 0 0 0 0 0 0
10 0.456 0 0 0 0 0 0
11 0.504 0 0 0 0 0 0
12 0.552 0 0 0 0 0 0
13 0.6 0 0 0 0 0 0
14 0.648 0 0 0 0 0 0
15 0.696 0 0 0 0 0 0
16 0.744 0 0 0 0 0 0
17 0.792 0 0 0 0 0 0
18 0.84 0 0 0 0 0 0
19 0.888 0 0 0 0 0 0
20 0.936 0 0 0 0 0 0
21 0.984 0 0 0 0 0 0
22 1.032 0 0 0 0 0 0
23 1.08 0 0 0 0 0 0
24 1.128 0 0 0 0 0 0
25 1.176 0 0 0 0 0 0
26 1.224 0 0 0 0 0 0
27 1.272 0 0 0 0 0 0
28 1.32 0 0 0 0 0 0
29 1.368 0 0 0 0 0 0
30 1.416 0 0 0 0 0 0
31 1.464 0 0 0 0 0 0
32 1.512 0 0 0 0 0 0
33 1.56 0 0 0 0 0 0
34 1.608 0 0 0 0 0 0
35 1.656 0 0 0 0 0 0
36 1.704 0 0 0 0 0 0
37 1.752 0 0 0 0 0 0
38 1.8 0 0 0 0 0.17434 0.01875
39 1.848 0 0 0 0 2.26049 0.275
40 1.896 0 0 0 0 3.56169 0.7
41 1.944 0 0 0 0 4.93251 1.31875
42 1.992 0 0 0 0 6.45337 2.16875
43 2.04 0 0 0 0 5.20313 2.8875
44 2.088 0 0 0 0 3.88696 3.45
45 2.136 0 0 0 0 3.26027 3.94375
46 2.184 0 0 0 0 2.56589 4.35
47 2.232 0 0 0 0 1.39844 4.58125
48 2.28 0 0 0 0 2.02838 4.93125
49 2.328 0.592945 0.025 0 0 1.32023 5.16875
50 2.376 0.284615 0.0375 0 0 1.23407 5.4
51 2.424 0.546911 0.0625 0 0 0.833185 5.5625
52 2.472 0.788818 0.1 0.0616264 0.00625 0.616264 5.6875
53 2.52 1.01207 0.15 0.415108 0.05 0.415108 5.775
54 2.568 0.974593 0.2 0.399736 0.09375 0.285525 5.8375
55 2.616 3.52184 0.3875 1.32069 0.24375 0.247629 5.89375
56 2.664 3.16967 0.5625 1.59191 0.43125 0.159191 5.93125
57 2.712 4.15077 0.8 2.35529 0.71875 0.153606 5.96875
58 2.76 2.53115 0.95 2.62014 1.05 0.0494366 5.98125
59 2.808 3.0567 1.1375 3.24774 1.475 0.0477609 5.99375
60 2.856 3.93976 1.3875 3.09333 1.89375 0.0230845 6
61 2.904 1.52424 1.4875 3.57243 2.39375 0.0223277 6.00625
62 2.952 1.29069 1.575 4.23508 3.00625 0.0432151 6.01875
63 3 1.42825 1.675 4.60276 3.69375 0.0209216 6.025
64 3.048 2.24838 1.8375 3.44554 4.225 0.121607 6.0625
65 3.096 1.34105 1.9375 2.7502 4.6625 0.13751 6.10625
66 3.144 0.812761 2 2.0954 5.00625 0.152393 6.15625
67 3.192 0.946201 2.075 1.7002 5.29375 0.295688 6.25625
68 3.24 0.459187 2.1125 1.00447 5.46875 0.466362 6.41875
69 3.288 0.74313 2.175 1.01019 5.65 0.679267 6.6625
70 3.336 0.866279 2.25 0.642941 5.76875 0.930573 7.00625
71 3.384 0.140313 2.2625 0.328859 5.83125 0.920805 7.35625
72 3.432 0.409247 2.3 0.479587 5.925 1.18298 7.81875
