# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_RDF[1] c_RDF[2] c_RDF[3] c_RDF[4] c_RDF[5] c_RDF[6] c_RDF[7]
50100 100
97 4.632 0 4 0 12 1.26184 26.9937
98 4.68 0 4 0 12 0.722504 27.5125
99 4.728 0 4 0 12 0.400864 27.8062
100 4.776 0 4 0 12 0.192244 27.95
50500 100
1 0.024 0 0 0 0 0 0
2 0.072 0 0 0 0 0 0
3 0.12 0 0 0 0 0 0
4 0.168 0 0 0 0 0 0
5 0.216 0 0 0 0 0 0
6 0.264 0 0 0 0 0 0
7 0.312 0 0 0 0 0 0
8 0.36 0 0 0 0 0 0
9 0.408 0 0 0 0 0 0
10 0.456 0 0 0 0 0 0
11 0.504 0 0 0 0 0 0
12 0.552 0 0 0 0 0 0
13 0.6 0 0 0 0 0 0
14 0.648 0 0 0 0 0 0
15 0.696 0 0 0 0 0 0
16 0.744 0 0 0 0 0 0
17 0.792 0 0 0 0 0 0
18 0.84 0 0 0 0 0 0
19 0.888 0 0 0 0 0 0
20 0.936 0 0 0 0 0 0
21 0.984 0 0 0 0 0 0
22 1.032 0 0 0 0 0 0
23 1.08 0 0 0 0 0 0
24 1.128 0 0 0 0 0 0
25 1.176 0 0 0 0 0 0
26 1.224 0 0 0 0 0 0
27 1.272 0 0 0 0 0 0
28 1.32 0 0 0 0 0 0
29 1.368 0 0 0 0 0 0
30 1.416 0 0 0 0 0 0
31 1.464 0 0 0 0 0 0
32 1.512 0 0 0 0 0 0
33 1.56 0 0 0 0 0 0
34 1.608 0 0 0 0 0 0
35 1.656 0 0 0 0 0 0
36 1.704 0 0 0 0 0 0
37 1.752 0 0 0 0 0 0
38 1.8 0 0 0 0 0.176526 0.01875
39 1.848 0 0 0 0 3.5728 0.41875
40 1.896 0 0 0 0 8.43247 1.4125
41 1.944 0 0 0 0 10.5941 2.725
42 1.992 0 0 0 0 6.05381 3.5125
43 2.04 0 0 0 0 2.47384 3.85
44 2.088 0 0 0 0 0.918326 3.98125
45 2.136 0 0 0 0 0.12536 4
46 2.184 0 0 0 0 0 4
47 2.232 0 0 0 0 0 4
48 2.28 0 0 0 0 0 4
49 2.328 0 0 0 0 0 4
50 2.376 0 0 0 0 0 4
51 2.424 0 0 0 0 0 4
52 2.472 0 0 0 0 0 4
53 2.52 0 0 0 0 0 4
54 2.568 0 0 0 0 0 4
55 2.616 0 0 0 0 0 4
56 2.664 0 0 0 0 0 4
57 2.712 0 0 0 0 0 4
58 2.76 0 0 0 0 0 4
59 2.808 0 0 0 0 0 4
60 2.856 0 0 0 0 0 4
61 2.904 0 0 0 0 0 4
62 2.952 0 0 0 0 0 4
63 3 0 0 0 0 0.0211839 4.00625
64 3.048 0 0 0 0 0.0410439 4.01875
65 3.096 0 0 0.0397811 0.00625 0 4.01875
66 3.144 0 0 0.27003 0.05 0.0771514 4.04375
67 3.192 0 0 1.04788 0.225 0.130985 4.0875
68 3.24 0 0 1.48927 0.48125 0.417722 4.23125
69 3.288 0 0 2.85694 0.9875 1.11103 4.625
70 3.336 0 0 4.11158 1.7375 2.29563 5.4625
71 3.384 0.142072 0.0125 7.39218 3.125 3.27986 6.69375
72 3.432 1.10501 0.1125 10.1004 5.075 4.62937 8.48125
73 3.48 2.28381 0.325 9.98117 7.05625 4.32937 10.2
74 3.528 3.79062 0.6875 8.63919 8.81875 4.30428 11.9563
75 3.576 6.48851 1.325 7.00735 10.2875 3.74222 13.525
76 3.624 10.5296 2.3875 3.94861 11.1375 2.26464 14.5
77 3.672 6.75698 3.0875 2.12098 11.6062 1.61195 15.2125
78 3.72 4.34997 3.55 1.07463 11.85 0.964414 15.65
79 3.768 3.09394 3.8875 0.483429 11.9625 0.362572 15.8187
80 3.816 1.00553 4 0.130929 11.9938 0.288043 15.9563
81 3.864 0 4 0.0255392 12 0.0638481 15.9875
82 3.912 0 4 0 12 0.0249164 16
83 3.96 0 4 0 12 0 16
84 4.008 0 4 0 12 0 16
85 4.056 0 4 0 12 0 16
86 4.104 0 4 0 12 0.0452791 16.025
87 4.152 0 4 0 12 0.0552978 16.0562
88 4.2 0 4 0 12 0.194548 16.1687
89 4.248 0 4 0 12 0.338091 16.3687
90 4.296 0 4 0 12 0.89876 16.9125
91 4.344 0 4 0 12 1.54584 17.8687
92 4.392 0 4 0 12 2.48086 19.4375
93 4.44 0 4 0 12 2.64028 21.1438
94 4.488 0 4 0 12 2.53678 22.8188
95 4.536 0 4 0 12 2.59457 24.5688
96 4.584 0 4 0 12 1.95983 25.9187
97 4.632 0 4 0 12 1.42179 26.9187
98 4.68 0 4 0 12 0.922716 27.5813
99 4.728 0 4 0 12 0.298516 27.8
100 4.776 0 4 0 12 0.192244 27.9438
50600 100
1 0.024 0 0 0 0 0 0
2 0.072 0 0 0 0 0 0
3 0.12 0 0 0 0 0 0
4 0.168 0 0 0 0 0 0
5 0.216 0 0 0 0 0 0
6 0.264 0 0 0 0 0 0
7 0.312 0 0 0 0 0 0
8 0.36 0 0 0 0 0 0
9 0.408 0 0 0 0 0 0
10 0.456 0 0 0 0 0 0
11 0.504 0 0 0 0 0 0
12 0.552 0 0 0 0 0 0
13 0.6 0 0 0 0 0 0
14 0.648 0 0 0 0 0 0
15 0.696 0 0 0 0 0 0
16 0.744 0 0 0 0 0 0
17 0.792 0 0 0 0 0 0
18 0.84 0 0 0 0 0 0
19 0.888 0 0 0 0 0 0
20 0.936 0 0 0 0 0 0
21 0.984 0 0 0 0 0 0
22 1.032 0 0 0 0 0 0
23 1.08 0 0 0 0 0 0
24 1.128 0 0 0 0 0 0
25 1.176 0 0 0 0 0 0
26 1.224 0 0 0 0 0 0
27 1.272 0 0 0 0 0 0
28 1.32 0 0 0 0 0 0
29 1.368 0 0 0 0 0 0
30 1.416 0 0 0 0 0 0
31 1.464 0 0 0 0 0 0
32 1.512 0 0 0 0 0 0
33 1.56 0 0 0 0 0 0
34 1.608 0 0 0 0 0 0
35 1.656 0 0 0 0 0 0
36 1.704 0 0 0 0 0 0
37 1.752 0 0 0 0 0 0
38 1.8 0 0 0 0 0 0
39 1.848 0 0 0 0 3.23785 0.3625
40 1.896 0 0 0 0 8.43247 1.35625
41 1.944 0 0 0 0 9.53465 2.5375
42 1.992 0 0 0 0 6.91863 3.4375
43 2.04 0 0 0 0 2.84033 3.825
44 2.088 0 0 0 0 1.04952 3.975
45 2.136 0 0 0 0 0.12536 3.99375
46 2.184 0 0 0 0 0.0399701 4
47 2.232 0 0 0 0 0 4
48 2.28 0 0 0 0 0 4
49 2.328 0 0 0 0 0 4
50 2.376 0 0 0 0 0 4
51 2.424 0 0 0 0 0 4
52 2.472 0 0 0 0 0 4
53 2.52 0 0 0 0 0 4
54 2.568 0 0 0 0 0 4
55 2.616 0 0 0 0 0 4
56 2.664 0 0 0 0 0 4
57 2.712 0 0 0 0 0 4
58 2.76 0 0 0 0 0 4
59 2.808 0 0 0 0 0 4
60 2.856 0 0 0 0 0 4
61 2.904 0 0 0 0 0 4
62 2.952 0 0 0 0 0 4
63 3 0 0 0.0423678 0.00625 0.0211839 4.00625
64 3.048 0 0 0.0820878 0.01875 0.0615659 4.025
65 3.096 0 0 0.119343 0.0375 0.0397811 4.0375
66 3.144 0 0 0.308606 0.0875 0.0578636 4.05625
67 3.192 0 0 1.12273 0.275 0.318107 4.1625
68 3.24 0 0 2.07045 0.63125 0.617502 4.375
69 3.288 0 0 3.35073 1.225 1.30502 4.8375
70 3.336 0.292379 0.025 5.24227 2.18125 2.58687 5.78125
71 3.384 0.284144 0.05 6.59303 3.41875 3.5629 7.11875
72 3.432 0.690629 0.1125 9.61485 5.275 3.82004 8.59375
73 3.48 1.6121 0.2625 8.5328 6.96875 3.98302 10.175
74 3.528 4.05204 0.65 7.65885 8.53125 3.47712 11.5938
75 3.576 6.99741 1.3375 5.99352 9.7875 3.50368 13.0625
76 3.624 9.41471 2.2875 4.38411 10.7312 2.49691 14.1375
77 3.672 6.9983 3.0125 2.7997 11.35 2.06442 15.05
78 3.72 6.23104 3.675 1.81861 11.7625 0.964414 15.4875
79 3.768 2.29181 3.925 0.698286 11.925 0.658 15.7937
80 3.816 0.558629 3.9875 0.130929 11.9563 0.261858 15.9187
81 3.864 0.108967 4 0.102157 11.9812 0.0893873 15.9625
82 3.912 0 4 0.0249164 11.9875 0.0249164 15.975
83 3.96 0 4 0.048632 12 0.024316 15.9875
84 4.008 0 4 0 12 0.0237371 16
85 4.056 0 4 0 12 0.0463571 16.025
86 4.104 0 4 0 12 0.0339593 16.0437
87 4.152 0 4 0 12 0.0552978 16.075
88 4.2 0 4 0 12 0.270206 16.2312
89 4.248 0 4 0 12 0.602225 16.5875
90 4.296 0 4 0 12 0.981405 17.1812
91 4.344 0 4 0 12 1.48522 18.1
92 4.392 0 4 0 12 2.16458 19.4688
93 4.44 0 4 0 12 2.28244 20.9438
94 4.488 0 4 0 12 2.77342 22.775
95 4.536 0 4 0 12 2.41851 24.4062
96 4.584 0 4 0 12 2.21388 25.9312
97 4.632 0 4 0 12 1.38625 26.9062
98 4.68 0 4 0 12 0.792143 27.475
99 4.728 0 4 0 12 0.426451 27.7875
100 4.776 0 4 0 12 0.192244 27.9312
50700 100
1 0.024 0 0 0 0 0 0
2 0.072 0 0 0 0 0 0
3 0.12 0 0 0 0 0 0
4 0.168 0 0 0 0 0 0
5 0.216 0 0 0 0 0 0
6 0.264 0 0 0 0 0 0
7 0.312 0 0 0 0 0 0
8 0.36 0 0 0 0 0 0
9 0.408 0 0 0 0 0 0
10 0.456 0 0 0 0 0 0
11 0.504 0 0 0 0 0 0
