# Time-averaged data for fix 1
# TimeStep Number-of-rows
# Row c_myRDF[1] c_myRDF[2] c_myRDF[3]
1000 100
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0.00271751 0.0006
38 0.9375 0.0502031 0.0123
39 0.9625 0.28374 0.082
40 0.9875 0.858363 0.30395
41 1.0125 1.66813 0.7574
42 1.0375 2.46865 1.462
43 1.0625 2.91091 2.33335
44 1.0875 2.95751 3.2608
45 1.1125 2.85412 4.19745
46 1.1375 2.58359 5.08385
47 1.1625 2.26576 5.89575
48 1.1875 1.95059 6.6251
49 1.2125 1.68295 7.28115
50 1.2375 1.44239 7.86685
51 1.2625 1.2699 8.40355
52 1.2875 1.104 8.8888
53 1.3125 0.975106 9.3342
54 1.3375 0.874906 9.7492
55 1.3625 0.798502 10.1422
56 1.3875 0.738055 10.519
57 1.4125 0.68031 10.8789
58 1.4375 0.653751 11.2371
59 1.4625 0.613783 11.5852
60 1.4875 0.589491 11.9311
61 1.5125 0.579067 12.2823
62 1.5375 0.577301 12.6441
63 1.5625 0.58037 13.0198
64 1.5875 0.592091 13.4155
65 1.6125 0.600707 13.8297
66 1.6375 0.620973 14.2712
67 1.6625 0.655518 14.7515
68 1.6875 0.691533 15.2737
69 1.7125 0.715665 15.8302
70 1.7375 0.769738 16.4463
71 1.7625 0.821205 17.1227
72 1.7875 0.882909 17.8708
73 1.8125 0.934031 18.6843
74 1.8375 0.989548 19.5702
75 1.8625 1.04139 20.5281
76 1.8875 1.10333 21.5703
77 1.9125 1.13829 22.6743
78 1.9375 1.18536 23.8541
79 1.9625 1.20383 25.0835
80 1.9875 1.23718 26.3793
81 2.0125 1.25603 27.7281
82 2.0375 1.28295 29.1404
83 2.0625 1.27207 30.5751
84 2.0875 1.29224 32.0682
85 2.1125 1.27321 33.5748
86 2.1375 1.24013 35.0771
87 2.1625 1.22473 36.5958
88 2.1875 1.18834 38.1035
89 2.2125 1.15108 39.5975
90 2.2375 1.10961 41.0705
91 2.2625 1.05988 42.509
92 2.2875 1.02228 43.9274
93 2.3125 0.981608 45.3192
94 2.3375 0.948817 46.6939
95 2.3625 0.916713 48.0505
96 2.3875 0.895862 49.4045
97 2.4125 0.867121 50.7426
98 2.4375 0.854091 52.0881
99 2.4625 0.841968 53.4419
100 2.4875 0.827415 54.7994
8000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
19 0.4625 0 0
20 0.4875 0 0
21 0.5125 0 0
22 0.5375 0 0
23 0.5625 0 0
24 0.5875 0 0
25 0.6125 0 0
26 0.6375 0 0
27 0.6625 0 0
28 0.6875 0 0
29 0.7125 0 0
30 0.7375 0 0
31 0.7625 0 0
32 0.7875 0 0
33 0.8125 0 0
34 0.8375 0 0
35 0.8625 0 0
36 0.8875 0 0
37 0.9125 0.00430273 0.00095
38 0.9375 0.0502031 0.01265
39 0.9625 0.302262 0.0869
40 0.9875 0.867065 0.3111
41 1.0125 1.66703 0.76425
42 1.0375 2.43116 1.45815
43 1.0625 2.89654 2.3252
44 1.0875 2.97696 3.25875
45 1.1125 2.86052 4.1975
46 1.1375 2.56362 5.07705
47 1.1625 2.25599 5.88545
48 1.1875 1.95768 6.61745
49 1.2125 1.69526 7.2783
50 1.2375 1.45803 7.87035
51 1.2625 1.27132 8.40765
52 1.2875 1.08421 8.8842
53 1.3125 0.981674 9.3326
54 1.3375 0.875327 9.7478
55 1.3625 0.797181 10.1402
56 1.3875 0.740406 10.5182
57 1.4125 0.685036 10.8806
58 1.4375 0.641066 11.2318
59 1.4625 0.620307 11.5836
60 1.4875 0.592474 11.9312
61 1.5125 0.572143 12.2783
62 1.5375 0.584959 12.6449
63 1.5625 0.600684 13.0338
64 1.5875 0.592689 13.4298
65 1.6125 0.603826 13.8461
66 1.6375 0.618582 14.2859
67 1.6625 0.648013 14.7608
68 1.6875 0.686037 15.2788
69 1.7125 0.720037 15.8387
70 1.7375 0.770737 16.4556
71 1.7625 0.824726 17.1349
72 1.7875 0.885505 17.8851
73 1.8125 0.939771 18.7037
74 1.8375 0.992619 19.5924
75 1.8625 1.03503 20.5444
76 1.8875 1.09274 21.5766
77 1.9125 1.14721 22.6892
78 1.9375 1.16863 23.8525
79 1.9625 1.20001 25.0779
80 1.9875 1.22343 26.3593
81 2.0125 1.25379 27.7057
82 2.0375 1.27227 29.1062
83 2.0625 1.29144 30.5628
84 2.0875 1.29207 32.0558
85 2.1125 1.26835 33.5566
86 2.1375 1.25573 35.0778
87 2.1625 1.22505 36.5968
88 2.1875 1.19469 38.1126
89 2.2125 1.14477 39.5984
90 2.2375 1.10709 41.0681
91 2.2625 1.06294 42.5107
92 2.2875 1.01972 43.9256
93 2.3125 0.987285 45.3254
94 2.3375 0.942328 46.6906
95 2.3625 0.919619 48.0516
96 2.3875 0.892488 49.4005
97 2.4125 0.862714 50.7319
98 2.4375 0.847711 52.0673
99 2.4625 0.833572 53.4076
100 2.4875 0.836954 54.7807
9000 100
1 0.0125 0 0
2 0.0375 0 0
3 0.0625 0 0
4 0.0875 0 0
5 0.1125 0 0
6 0.1375 0 0
7 0.1625 0 0
8 0.1875 0 0
9 0.2125 0 0
10 0.2375 0 0
11 0.2625 0 0
12 0.2875 0 0
13 0.3125 0 0
14 0.3375 0 0
15 0.3625 0 0
16 0.3875 0 0
17 0.4125 0 0
18 0.4375 0 0
