DONE: sourced file /scic/app/cpu/gaussian/16c-legacy/g16/bsd/g16.profile
LAMMPS (2 Apr 2025)
OMP_NUM_THREADS environment is not set. Defaulting to 1 thread. (src/comm.cpp:99)
  using 1 OpenMP thread(s) per MPI task
Reading data file ...
  orthogonal box = (0 0 0) to (35.36 35.36 35.36)
  1 by 1 by 1 MPI processor grid
  reading atoms ...
  2048 atoms
  read_data CPU = 0.062 seconds
2048 atoms in group Ne
Generated 0 of 0 mixed pair_coeff terms from geometric mixing rule
Neighbor list info ...
  update: every = 1 steps, delay = 0 steps, check = yes
  max neighbors/atom: 2000, page size: 100000
  master list distance cutoff = 2.8
  ghost atom cutoff = 2.8
  binsize = 1.4, bins = 26 26 26
  2 neighbor lists, perpetual/occasional/extra = 1 1 0
  (1) pair lj/cut, perpetual
      attributes: half, newton on
      pair build: half/bin/atomonly/newton
      stencil: half/bin/3d
      bin: standard
  (2) compute rdf, occasional, copy from (1)
      attributes: half, newton on
      pair build: copy
      stencil: none
      bin: none
Setting up Verlet run ...
  Unit style    : lj
  Current step  : 0
  Time step     : 0.005
Per MPI rank memory allocation (min/avg/max) = 3.598 | 3.598 | 3.598 Mbytes
   Step          Temp          Press          Volume         TotEng        c_MSD[4]     v_MSD_Slope  
     20000   1.5294332      5.0196629      2441.8133     -2.5738653      190.66225      3.3333333e+21
     20100   1.5023719      5.1126917      2441.8133     -2.5743099      190.90159      0.080798336  
     20200   1.4852981      5.1894174      2441.8133     -2.5736214      191.12818      0.088946224  
     20300   1.5269526      4.9753788      2441.8133     -2.5740235      191.75476      0.12352794   
     20400   1.5081563      5.04001        2441.8133     -2.5741323      192.26892      0.14728909   
     20500   1.4908609      5.1801271      2441.8133     -2.5737744      192.5957       0.14968395   
     20600   1.5142536      4.9909082      2441.8133     -2.5743133      193.1111       0.14832757   
     20700   1.50195        5.11359        2441.8133     -2.574449       193.24894      0.14536235   
     20800   1.5104527      5.0607839      2441.8133     -2.5747233      193.75926      0.14040678   
     20900   1.4955269      5.1881071      2441.8133     -2.5740026      194.37201      0.13991293   
     21000   1.5228718      5.0198454      2441.8133     -2.5740011      194.47403      0.13815502   
     21100   1.500274       5.0957214      2441.8133     -2.5743535      195.01499      0.13791034   
     21200   1.5089647      5.1010083      2441.8133     -2.5744969      195.13494      0.13525855   
     21300   1.5387559      4.8678751      2441.8133     -2.574952       195.41136      0.13164426   
     21400   1.4800374      5.2996273      2441.8133     -2.573103       195.68449      0.12810253   
     21500   1.4916954      5.1509721      2441.8133     -2.574152       196.19558      0.12584955   
     21600   1.5049161      5.1014431      2441.8133     -2.5748355      196.54627      0.12545133   
     21700   1.5212391      4.9968927      2441.8133     -2.5743099      196.61743      0.12321239   
     21800   1.5149004      5.0218817      2441.8133     -2.5747956      196.91134      0.12070372   
     21900   1.5155548      5.0352         2441.8133     -2.5739554      197.48379      0.11961671   
     22000   1.48844        5.2433396      2441.8133     -2.5731374      197.89286      0.11946384   
     22100   1.4999488      5.1991873      2441.8133     -2.573822       197.98722      0.11895477   
     22200   1.4928835      5.1718042      2441.8133     -2.5753036      198.14134      0.11731213   
     22300   1.4846569      5.1910015      2441.8133     -2.5745221      198.53002      0.11596534   
     22400   1.51565        5.0541058      2441.8133     -2.5740536      198.39209      0.11409298   
     22500   1.5015952      5.120487       2441.8133     -2.5738145      198.79114      0.1119356    
     22600   1.5138729      5.0447357      2441.8133     -2.5734648      198.94191      0.11020053   
     22700   1.522304       4.983893       2441.8133     -2.5746632      199.19182      0.10843595   
     22800   1.5289237      4.9967858      2441.8133     -2.5744171      199.57726      0.10715326   
     22900   1.5059456      5.1013882      2441.8133     -2.5743513      199.89425      0.10607946   
     23000   1.5307825      4.9469432      2441.8133     -2.5750654      200.23502      0.10517679   
     23100   1.4962436      5.1925215      2441.8133     -2.5745132      200.35957      0.10426337   
     23200   1.5291025      5.0632951      2441.8133     -2.5748056      200.62507      0.10334693   
     23300   1.5091257      5.1100495      2441.8133     -2.5733102      200.88426      0.10258517   
     23400   1.528907       4.9473751      2441.8133     -2.5746543      201.1647       0.1016682    
     23500   1.5148444      5.0329557      2441.8133     -2.5744083      201.17777      0.10087101   
     23600   1.5146016      5.1057657      2441.8133     -2.5742298      201.40326      0.099825103  
     23700   1.5181217      5.0515813      2441.8133     -2.5736423      201.78108      0.098888614  
     23800   1.4820487      5.2666359      2441.8133     -2.5743089      202.41578      0.098497444  
     23900   1.4916083      5.2249839      2441.8133     -2.5738505      202.69921      0.098238524  
     24000   1.5212951      5.0024152      2441.8133     -2.573438       202.8823       0.098001472  
     24100   1.4997718      5.1579521      2441.8133     -2.5741825      203.18282      0.097776671  
     24200   1.5018682      5.1297621      2441.8133     -2.5745344      203.49048      0.097474186  
     24300   1.5159334      5.0551972      2441.8133     -2.5744618      204.11826      0.097474543  
     24400   1.5210865      5.0987962      2441.8133     -2.5735152      204.22483      0.097654754  
     24500   1.4892144      5.2076962      2441.8133     -2.5745833      204.51796      0.097527367  
     24600   1.4693068      5.3765111      2441.8133     -2.5734005      204.83423      0.097510698  
     24700   1.5025773      5.0939181      2441.8133     -2.5744684      204.73769      0.097347351  
